INPUT_DATA_WIDTH,INPUT_BUS_WIDTH,CONFIG_BUS_WIDTH,OUTPUT_DATA_WIDTH,OUTPUT_BUS_WIDTH,TOTAL_LAYERS,FANOUT_STAGES,fMax,LUT (Used),LUT (Total),LUTAsLogic (Used),LUTAsLogic (Total),LUTAsMem (Used),LUTAsMem (Total),REG (Used),REG (Total),CARRY8 (Used),CARRY8 (Total),F7MUX (Used),F7MUX (Total),F8MUX (Used),F8MUX (Total),F9MUX (Used),F9MUX (Total),BRAM (Used),BRAM (Total),URAM (Used),URAM (Total),DSP (Used),DSP (Total),GLOBAL_CLOCK_BUFFERS (Used),GLOBAL_CLOCK_BUFFERS (Total),PLL (Used),PLL (Total),MMCM (Used),MMCM (Total),GTYE4_CHANNEL (Used),GTYE4_CHANNEL (Total),GTYE4_COMMON (Used),GTYE4_COMMON (Total),SLL_SLR2-SLR3 (Used),SLL_SLR2-SLR3 (Total),SLL_SLR3-SLR2 (Used),SLL_SLR3-SLR2 (Total),SLL_SLR1-SLR2 (Used),SLL_SLR1-SLR2 (Total),SLL_SLR2-SLR1 (Used),SLL_SLR2-SLR1 (Total),SLL_SLR0-SLR1 (Used),SLL_SLR0-SLR1 (Total),SLL_SLR1-SLR0 (Used),SLL_SLR1-SLR0 (Total),LUT_SLR0 (Used),LUT_SLR0 (Total),LUT_SLR1 (Used),LUT_SLR1 (Total),LUT_SLR2 (Used),LUT_SLR2 (Total),LUT_SLR3 (Used),LUT_SLR3 (Total),LUTAsLogic_SLR0 (Used),LUTAsLogic_SLR0 (Total),LUTAsLogic_SLR1 (Used),LUTAsLogic_SLR1 (Total),LUTAsLogic_SLR2 (Used),LUTAsLogic_SLR2 (Total),LUTAsLogic_SLR3 (Used),LUTAsLogic_SLR3 (Total),LUTAsMem_SLR0 (Used),LUTAsMem_SLR0 (Total),LUTAsMem_SLR1 (Used),LUTAsMem_SLR1 (Total),LUTAsMem_SLR2 (Used),LUTAsMem_SLR2 (Total),LUTAsMem_SLR3 (Used),LUTAsMem_SLR3 (Total),REG_SLR0 (Used),REG_SLR0 (Total),REG_SLR1 (Used),REG_SLR1 (Total),REG_SLR2 (Used),REG_SLR2 (Total),REG_SLR3 (Used),REG_SLR3 (Total),CARRY8_SLR0 (Used),CARRY8_SLR0 (Total),CARRY8_SLR1 (Used),CARRY8_SLR1 (Total),CARRY8_SLR2 (Used),CARRY8_SLR2 (Total),CARRY8_SLR3 (Used),CARRY8_SLR3 (Total),F7MUX_SLR0 (Used),F7MUX_SLR0 (Total),F7MUX_SLR1 (Used),F7MUX_SLR1 (Total),F7MUX_SLR2 (Used),F7MUX_SLR2 (Total),F7MUX_SLR3 (Used),F7MUX_SLR3 (Total),F8MUX_SLR0 (Used),F8MUX_SLR0 (Total),F8MUX_SLR1 (Used),F8MUX_SLR1 (Total),F8MUX_SLR2 (Used),F8MUX_SLR2 (Total),F8MUX_SLR3 (Used),F8MUX_SLR3 (Total),F9MUX_SLR0 (Used),F9MUX_SLR0 (Total),F9MUX_SLR1 (Used),F9MUX_SLR1 (Total),F9MUX_SLR2 (Used),F9MUX_SLR2 (Total),F9MUX_SLR3 (Used),F9MUX_SLR3 (Total),BRAM_SLR0 (Used),BRAM_SLR0 (Total),BRAM_SLR1 (Used),BRAM_SLR1 (Total),BRAM_SLR2 (Used),BRAM_SLR2 (Total),BRAM_SLR3 (Used),BRAM_SLR3 (Total),URAM_SLR0 (Used),URAM_SLR0 (Total),URAM_SLR1 (Used),URAM_SLR1 (Total),URAM_SLR2 (Used),URAM_SLR2 (Total),URAM_SLR3 (Used),URAM_SLR3 (Total),DSPs_SLR0 (Used),DSPs_SLR0 (Total),DSPs_SLR1 (Used),DSPs_SLR1 (Total),DSPs_SLR2 (Used),DSPs_SLR2 (Total),DSPs_SLR3 (Used),DSPs_SLR3 (Total)
8,64,64,4,8,4,1,303.49013657056145,2684,1728000,2460,1728000,224,791040,2518,3456000,68,216000,8,864000,0,432000,0,216000,17,2688,0,1280,3,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,2684,432000,0,432000,0,432000,0,432000,2460,432000,0,197760,0,197760,0,197760,224,197760,0,864000,0,864000,0,864000,2518,864000,0,54000,0,54000,0,54000,68,54000,0,216000,0,216000,0,216000,8,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,17,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,3,3072
8,64,64,4,8,4,1,367.1071953010279,2705,1728000,2481,1728000,224,791040,2667,3456000,68,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2705,432000,0,432000,0,432000,0,432000,2481,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2667,864000,0,864000,0,54000,0,54000,68,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,465.5493482309125,2794,1728000,2570,1728000,224,791040,2656,3456000,68,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2794,432000,0,432000,0,432000,0,432000,2570,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2656,864000,0,864000,0,54000,0,54000,68,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,414.765657403567,2678,1728000,2454,1728000,224,791040,2633,3456000,62,216000,7,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2678,432000,0,432000,0,432000,0,432000,2454,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2633,864000,0,864000,0,54000,0,54000,62,54000,0,54000,0,216000,0,216000,7,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,442.282176028306,2677,1728000,2453,1728000,224,791040,2618,3456000,62,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2677,432000,0,432000,0,432000,0,432000,2453,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2618,864000,0,864000,0,54000,0,54000,62,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,480.7692307692308,2708,1728000,2484,1728000,224,791040,2622,3456000,56,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2708,432000,0,432000,0,432000,0,432000,2484,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2622,864000,0,864000,0,54000,0,54000,56,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,541.1255411255412,2630,1728000,2406,1728000,224,791040,3073,3456000,56,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2630,432000,0,432000,0,432000,0,432000,2406,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3073,864000,0,864000,0,54000,0,54000,56,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,498.75311720698255,2598,1728000,2374,1728000,224,791040,3073,3456000,56,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2598,432000,0,432000,0,432000,0,432000,2374,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3073,864000,0,864000,0,54000,0,54000,56,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,517.5983436853003,2642,1728000,2418,1728000,224,791040,3077,3456000,56,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2642,432000,0,432000,0,432000,0,432000,2418,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3077,864000,0,864000,0,54000,0,54000,56,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,541.1255411255412,2630,1728000,2406,1728000,224,791040,3073,3456000,56,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2630,432000,0,432000,0,432000,0,432000,2406,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3073,864000,0,864000,0,54000,0,54000,56,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,529.6610169491526,2517,1728000,2293,1728000,224,791040,3015,3456000,52,216000,7,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2517,432000,0,432000,0,432000,0,432000,2293,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3015,864000,0,864000,0,54000,0,54000,52,54000,0,54000,0,216000,0,216000,7,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,547.0459518599563,2623,1728000,2399,1728000,224,791040,3045,3456000,51,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2623,432000,0,432000,0,432000,0,432000,2399,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3045,864000,0,864000,0,54000,0,54000,51,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,542.299349240781,2578,1728000,2354,1728000,224,791040,3026,3456000,48,216000,7,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2578,432000,0,432000,0,432000,0,432000,2354,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,3026,864000,0,864000,0,54000,0,54000,48,54000,0,54000,0,216000,0,216000,7,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,2,499.2511233150274,2544,1728000,2320,1728000,224,791040,2985,3456000,48,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2544,432000,0,432000,0,432000,0,432000,2320,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2985,864000,0,864000,0,54000,0,54000,48,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,543.1830526887561,2547,1728000,2323,1728000,224,791040,2983,3456000,46,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2547,432000,0,432000,0,432000,0,432000,2323,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2983,864000,0,864000,0,54000,0,54000,46,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,30728,64,64,4,8,4,1,529.9417064122946,2533,1728000,2309,1728000,224,791040,2998,3456000,46,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2533,432000,0,432000,0,432000,0,432000,2309,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2998,864000,0,864000,0,54000,0,54000,46,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,556.4830272676683,2445,1728000,2221,1728000,224,791040,2909,3456000,46,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2445,432000,0,432000,0,432000,0,432000,2221,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2909,864000,0,864000,0,54000,0,54000,46,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,617.6652254478073,2122,1728000,1898,1728000,224,791040,2864,3456000,98,216000,8,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2122,432000,0,432000,0,432000,0,432000,1898,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2864,864000,0,864000,0,54000,0,54000,98,54000,0,54000,0,216000,0,216000,8,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,1,657.030223390276,2173,1728000,1949,1728000,224,791040,2927,3456000,98,216000,7,864000,0,432000,0,216000,17,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,2173,432000,0,432000,0,432000,0,432000,1949,432000,0,432000,0,197760,0,197760,224,197760,0,197760,0,864000,0,864000,2927,864000,0,864000,0,54000,0,54000,98,54000,0,54000,0,216000,0,216000,7,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,17,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
